type,lat,lon,start_year,total_mass_ton
Nesanitarne deponije,44.8665327,20.977646,2010,15000.0
Nesanitarne deponije,44.8511724,21.0400591,1950,67500.0
Nesanitarne deponije,44.404548,21.946732,2004,37800.0
Nesanitarne deponije,44.8301833,20.8673946,1950,127500.0
Nesanitarne deponije,43.7845,20.2703,1982,0.0
Nesanitarne deponije,44.7701096,20.9094028,1950,105000.0
Nesanitarne deponije,44.7147421,20.8746521,2003,18700.0
Nesanitarne deponije,44.904343,21.382778,1994,201500.0
Nesanitarne deponije,42.4572,21.79063,2015,80000.0
Nesanitarne deponije,42.456956,21.785286,1993,0.0
Nesanitarne deponije,43.2435,19.382,1972,556500.0
Nesanitarne deponije,45.7958676,20.1013361,1985,320000.0
Nesanitarne deponije,44.7467258,20.9630099,1980,495000.0
Nesanitarne deponije,42.676906,22.056099,1970,0.0
Nesanitarne deponije,44.5931,21.2322,2006,42.18000000000001
Nesanitarne deponije,44.818424,20.081981,2010,105000.0
Nesanitarne deponije,45.6043274,20.1837872,1951,666000.0
