type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes
Nesanitarne deponije,45.3631842,19.6180128,1985,40,96000.0,96000.0,240000.0,2400.0,2.44,61.1
Nesanitarne deponije,45.0,19.0,1974,51,765000.0,765000.0,1912500.0,15000.0,17.27,431.63
Nesanitarne deponije,46.079331,19.686445,1978,47,2350000.0,2350000.0,5875000.0,50000.0,55.36,1383.9
Nesanitarne deponije,44.45318,19.422962,1994,31,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,46.075846,20.1027,1984,41,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,43.2356538,21.5980195,1992,33,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,44.7862355,20.5955171,1977,48,23865.2,23865.2,59663.0,497.19,0.56,13.9
Nesanitarne deponije,44.8023496,21.2041897,1950,75,62250.0,62250.0,155625.0,830.0,1.11,27.82
Nesanitarne deponije,44.7849088,21.071952,1950,75,67500.0,67500.0,168750.0,900.0,1.21,30.16
Nesanitarne deponije,44.8665327,20.977646,2010,15,15000.0,15000.0,37500.0,1000.0,0.51,12.75
Nesanitarne deponije,44.8511724,21.0400591,1950,75,67500.0,67500.0,168750.0,900.0,1.21,30.16
Nesanitarne deponije,44.404548,21.946732,2004,21,37800.0,37800.0,94500.0,1800.0,1.2,30.06
Nesanitarne deponije,44.8301833,20.8673946,1950,75,127500.0,127500.0,318750.0,1700.0,2.28,56.98
Nesanitarne deponije,43.7845,20.2703,1982,43,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,44.7701096,20.9094028,1950,75,105000.0,105000.0,262500.0,1400.0,1.88,46.92
Nesanitarne deponije,44.7147421,20.8746521,2003,22,18700.0,18700.0,46750.0,850.0,0.59,14.7
Nesanitarne deponije,44.904343,21.382778,1994,31,201500.0,201500.0,503750.0,6500.0,5.69,142.35
Nesanitarne deponije,42.4572,21.79063,2015,10,80000.0,80000.0,200000.0,8000.0,2.83,70.68
Nesanitarne deponije,42.456956,21.785286,1993,32,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,43.2435,19.382,1972,53,556500.0,556500.0,1391250.0,10500.0,12.3,307.48
Nesanitarne deponije,45.7958676,20.1013361,1985,40,320000.0,320000.0,800000.0,8000.0,8.15,203.65
Nesanitarne deponije,44.7467258,20.9630099,1980,45,495000.0,495000.0,1237500.0,11000.0,11.92,297.93
Nesanitarne deponije,42.676906,22.056099,1970,55,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,44.5931,21.2322,2006,19,42.18,42.18,105.45,2.22,0.0,0.03
Nesanitarne deponije,44.818424,20.081981,2010,15,105000.0,105000.0,262500.0,7000.0,3.57,89.22
