type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes,center_x_px,center_y_px,image_name,radius
Wild,42.3576034,22.0866427,2005,20,3.0,3300.0,8250.0,0.15,0.0,0.0,73.05,400.46,tile_block_834_504.jpg,36.24
Wild,42.4074212,22.1677695,2005,20,3.0,3100.0,7750.0,0.15,0.0,0.0,22.14,412.2,tile_block_823_517.jpg,35.12
Wild,42.3379782,22.100794,2005,20,3.5,3200.0,8000.0,0.17,0.0,0.0,242.66,4.6,tile_block_839_506.jpg,35.68
Wild,42.4033478,22.1989736,2005,20,4.0,2800.0,7000.0,0.2,0.0,0.0,36.27,316.73,tile_block_824_522.jpg,33.38
Wild,42.38093,21.9737678,2005,20,4.0,3600.0,9000.0,0.2,0.0,0.0,475.73,482.95,tile_block_829_485.jpg,37.85
Wild,42.4238911,22.253519,2005,20,5.0,3200.0,8000.0,0.25,0.0,0.0,395.38,18.82,tile_block_820_530.jpg,35.68
Wild,42.3925567,22.1286032,2005,20,4.0,3500.0,8750.0,0.2,0.0,0.0,405.12,58.29,tile_block_827_510.jpg,37.32
Wild,42.3634065,22.0877585,2005,20,3.5,3200.0,8000.0,0.17,0.0,0.0,156.69,266.92,tile_block_833_504.jpg,35.68
Wild,42.385211,22.0275644,2005,20,3.5,3500.0,8750.0,0.17,0.0,0.0,290.68,467.46,tile_block_828_494.jpg,37.32
Wild,44.33834,20.1978,2005,20,4.0,28.0,70.0,0.2,0.0,0.0,235.89,336.47,tile_block_405_204.jpg,3.34
Wild,44.443171,20.16951,2005,20,12.0,100.0,250.0,0.6,0.0,0.01,146.77,445.84,tile_block_382_200.jpg,6.31
Wild,44.40261,20.1336,2005,20,75.0,350.0,875.0,3.75,0.0,0.06,313.53,313.58,tile_block_391_194.jpg,11.8
Wild,44.42425,20.15476,2005,20,20.0,120.0,300.0,1.0,0.0,0.02,487.33,487.5,tile_block_386_197.jpg,6.91
Wild,44.40593,20.13755,2005,20,13.0,45.0,112.5,0.65,0.0,0.01,119.96,460.12,tile_block_390_195.jpg,4.23
Wild,44.38932,20.19722,2005,20,15.0,150.0,375.0,0.75,0.0,0.01,245.13,305.41,tile_block_394_204.jpg,7.73
Wild,44.38139,20.16112,2005,20,8.0,450.0,1125.0,0.4,0.0,0.01,432.81,133.42,tile_block_396_198.jpg,13.38
Wild,44.37283,20.15054,2005,20,6.0,60.0,150.0,0.3,0.0,0.0,92.16,51.54,tile_block_398_197.jpg,4.89
Wild,44.3696,20.18705,2005,20,25.0,150.0,375.0,1.25,0.0,0.02,437.37,439.83,tile_block_398_202.jpg,7.73
Wild,44.36346,20.12445,2005,20,1.0,40.0,100.0,0.05,0.0,0.0,50.43,46.43,tile_block_400_193.jpg,3.99
Wild,44.37945,20.11775,2005,20,15.0,100.0,250.0,0.75,0.0,0.01,47.68,312.61,tile_block_396_192.jpg,6.31
Wild,44.33832,20.1633,2005,20,5.0,70.0,175.0,0.25,0.0,0.0,45.62,311.2,tile_block_405_199.jpg,5.28
Wild,44.32292,20.13371,2005,20,15.0,150.0,375.0,0.75,0.0,0.01,228.71,461.25,tile_block_408_194.jpg,7.73
Wild,44.33253,20.10103,2005,20,2.0,25.0,62.5,0.1,0.0,0.0,194.57,389.77,tile_block_406_189.jpg,3.15
Wild,44.32642,20.12971,2005,20,4.0,40.0,100.0,0.2,0.0,0.0,425.88,69.11,tile_block_408_193.jpg,3.99
Wild,44.36805,20.14107,2005,20,50.0,280.0,700.0,2.5,0.0,0.04,356.11,62.62,tile_block_399_195.jpg,10.56
Wild,44.34944,20.08557,2005,20,25.0,80.0,200.0,1.25,0.0,0.02,6.97,33.87,tile_block_403_187.jpg,5.64
Wild,44.33411,20.07148,2005,20,2.0,15.0,37.5,0.1,0.0,0.0,400.68,188.02,tile_block_406_184.jpg,2.44
Wild,44.32667,20.1315,2005,20,30.0,120.0,300.0,1.5,0.0,0.02,56.9,42.86,tile_block_408_194.jpg,6.91
Wild,44.30896,20.17026,2005,20,90.0,300.0,750.0,4.5,0.0,0.07,55.45,505.99,tile_block_411_200.jpg,10.93
Wild,44.36973,20.20115,2005,20,20.0,160.0,400.0,1.0,0.0,0.02,24.93,436.44,tile_block_398_205.jpg,7.98
Wild,44.34893,20.18703,2005,20,4.0,40.0,100.0,0.2,0.0,0.0,413.0,175.73,tile_block_403_202.jpg,3.99
Wild,44.33179,19.49181,2005,20,1.2,600.0,1500.0,0.06,0.0,0.0,262.74,270.86,tile_block_405_94.jpg,15.45
Wild,44.3868,19.2833,2005,20,16.7,10.0,25.0,0.83,0.0,0.01,150.95,489.55,tile_block_392_62.jpg,1.99
Wild,44.4024,19.3167,2005,20,6.7,20.0,50.0,0.34,0.0,0.01,286.96,347.99,tile_block_389_67.jpg,2.82
Wild,44.3973,19.3184,2005,20,80.7,50.0,125.0,4.04,0.0,0.06,410.69,405.26,tile_block_390_67.jpg,4.46
Wild,44.3718,19.3247,2005,20,1.7,10.0,25.0,0.08,0.0,0.0,342.47,175.99,tile_block_396_68.jpg,1.99
Wild,44.362,19.3477,2005,20,6.7,20.0,50.0,0.34,0.0,0.01,104.98,277.76,tile_block_398_72.jpg,2.82
Wild,44.4137,19.4155,2005,20,73.0,20.0,50.0,3.65,0.0,0.06,498.79,273.84,tile_block_387_82.jpg,2.82
Wild,44.3765,19.3394,2005,20,0.7,10.0,25.0,0.03,0.0,0.0,500.24,189.78,tile_block_395_70.jpg,1.99
Wild,44.4278,19.4004,2005,20,6.7,20.0,50.0,0.34,0.0,0.01,351.21,220.28,tile_block_384_80.jpg,2.82
Wild,44.4232,19.4722,2005,20,6.7,20.0,50.0,0.34,0.0,0.01,424.69,328.44,tile_block_385_91.jpg,2.82
Wild,44.4108,19.4412,2005,20,33.3,15.0,37.5,1.66,0.0,0.03,490.78,123.26,tile_block_388_86.jpg,2.44
Wild,44.3568,19.372,2005,20,30.0,50.0,125.0,1.5,0.0,0.02,493.87,382.12,tile_block_399_75.jpg,4.46
Wild,44.4455,19.4779,2005,20,1.7,10.0,25.0,0.08,0.0,0.0,412.51,419.87,tile_block_380_92.jpg,1.99
Wild,44.4427,19.4797,2005,20,6.7,20.0,50.0,0.34,0.0,0.01,37.96,221.55,tile_block_381_93.jpg,2.82
Wild,44.4436,19.4846,2005,20,16.7,40.0,100.0,0.83,0.0,0.01,429.73,128.82,tile_block_381_93.jpg,3.99
